,Fish_ID,Beas_population_code,Population_old_code,Harvested,Head.time.moving,Head.total.time,Head.raw.speed,Head.speed.moving,Head.time.stationary,Trial,Treatment,Normalized_Time.moving,FSR,FastestFSR,Status,FastestStatus,Aquarium,Acclimation,Sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,SGR_length,MMR_mghg,SMR_mghg,MMR_scaled,SMR_scaled,AS,Harvest2,Length2,FastestFSR2
214,5fb,1,1,Small,88.1,865.6,2.745199568,7.954977324,777.5,2,Normoxia,0.101779113,6,6,1,1,5,Hypoxia acclimated,F,0.18,0.23,20,22.5,0.42,0.32,0.2,0.912,0.314,0.273,0.095,0.178,Positive,20,6
215,2fl,9,3,Small,88.06666667,865.6,2.59013984,7.614901351,777.5333333,1,Normoxia,0.101740604,7,7,1,1,2,Normoxia acclimated,F,0.29,0.54,23.5,27.5,1.07,0.51,0.27,0.899,0.208,0.287,0.072,0.215,Positive,24,7
216,4ml,5,2,Random,87.86666667,865.6,2.694314952,7.072926395,777.7333333,3,Recovery,0.10150955,6,5,1,1,4,Normoxia acclimated,M,0.11,0.13,17,18,0.29,0.12,0.1,NA,NA,NA,NA,NA,Random,18,5
217,12fg,6,2,Small,87.83333333,865.6,2.377323703,6.936773177,777.7666667,2,Recovery,0.101471041,7,53,1,1,12,Hypoxia acclimated,F,0.11,0.44,17.5,24.5,2.39,0.37,0.58,NA,NA,NA,NA,NA,Positive,18,7
218,9fp,7,3,Large,87.76666667,865.6,3.067208332,7.553637484,777.8333333,1,Normoxia,0.101394023,7,22,1,1,9,Normoxia acclimated,F,0.19,0.82,20,29.5,2.52,0.57,0.67,0.727,0.251,0.236,0.09,0.146,Negative,20,6
219,12mg,6,2,Small,87.63333333,865.6,3.147516717,6.970964449,777.9666667,2,Normoxia,0.101239988,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
220,2mg,1,1,Small,87.13333333,865.6,2.97360841,7.842915882,778.4666667,1,Recovery,0.100662354,NA,41,0,1,2,Normoxia acclimated,M,0.06,0.07,15.5,15.5,0.27,0.07,0,NA,NA,NA,NA,NA,Positive,16,41
221,12fb,1,1,Small,87.03333333,865.6,2.916696654,7.799868263,778.5666667,2,Recovery,0.100546827,5,28,1,1,12,Hypoxia acclimated,F,0.17,0.62,19.5,27,2.23,0.44,0.56,NA,NA,NA,NA,NA,Positive,20,5
222,7ml,4,2,Large,86.9,865.6,1.872642038,10.9354363,778.7,2,Normoxia,0.100392791,42,37,1,1,7,Normoxia acclimated,M,0.1,0.1,16,16.5,0,0.11,0.05,1.109,0.514,0.285,0.114,0.171,Negative,16,37
223,5fg,1,1,Small,86.6,865.6,2.554989942,8.356316694,779,1,Recovery,0.100046211,7,7,1,1,5,Hypoxia acclimated,F,0.13,0.43,18,25.5,2.06,0.4,0.6,NA,NA,NA,NA,NA,Positive,18,7
224,7ml,4,2,Large,86.36666667,865.6,2.478125456,7.177509432,779.2333333,1,Hypoxia,0.099776648,97,115,1,1,7,Normoxia acclimated,M,0.1,0.1,16,16.5,0,0.11,0.05,0.769,0.108,0.198,0.024,0.174,Negative,16,6
225,12mb,1,1,Small,85.93333333,865.6,3.032978684,6.973850071,779.6666667,3,Hypoxia,0.099276032,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
226,11fp,8,3,Random,85.8,865.6,1.95984141,8.514988315,779.8,1,Recovery,0.099121996,NA,NA,NA,NA,11,Normoxia acclimated,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Random,NA,NA
227,6ml,6,2,Small,85.36666667,865.6,2.551678302,7.981083556,780.2333333,2,Normoxia,0.09862138,NA,NA,NA,NA,6,Normoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
228,6mg,6,2,Small,84.43333333,865.6,2.948566372,7.527003923,781.1666667,3,Hypoxia,0.09754313,6,5,1,1,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,0.832,0.176,0.197,0.033,0.164,Positive,17,5
229,8mg,4,2,Large,83.9,865.6,2.675137438,7.557011123,781.7,3,Normoxia,0.096926987,142,142,1,1,8,Hypoxia acclimated,M,0.11,0.13,16,18,0.29,0.12,0.2,1.109,0.487,0.289,0.111,0.178,Negative,18,142
230,8mb,3,1,Large,83.33333333,865.6,2.68426716,7.427307635,782.2666667,1,Recovery,0.096272335,5,5,1,1,8,Hypoxia acclimated,M,0.11,0.16,18,18.5,0.65,0.11,0.05,NA,NA,NA,NA,NA,Negative,18,5
231,8mg,4,2,Large,83.33333333,865.6,3.019691421,7.47242155,782.2666667,2,Recovery,0.096272335,80,101,1,1,8,Hypoxia acclimated,M,0.11,0.13,16,18,0.29,0.12,0.2,NA,NA,NA,NA,NA,Negative,16,80
232,5mg,6,2,Small,83.26666667,865.6,3.163448511,6.791063054,782.3333333,3,Hypoxia,0.096195317,5,39,1,1,5,Hypoxia acclimated,M,0.08,0.09,15,15.5,0.2,0.09,0.06,0.688,0.068,0.172,0.014,0.158,Positive,16,5
233,7ml,4,2,Large,82.96666667,865.6,2.032673377,11.39068696,782.6333333,2,Recovery,0.095848737,NA,44,0,1,7,Normoxia acclimated,M,0.1,0.1,16,16.5,0,0.11,0.05,NA,NA,NA,NA,NA,Negative,16,44
234,3mp,8,3,Random,82.3,865.6,2.987596066,6.504096203,783.3,3,Hypoxia,0.095078558,5,5,1,1,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,0.564,0.079,0.153,0.02,0.133,Random,19,5
235,3fb,2,1,Random,81.66666667,865.6,2.450341478,6.952755534,783.9333333,1,Hypoxia,0.094346888,NA,32,0,1,3,Hypoxia acclimated,F,0.22,0.58,21.5,26.5,1.67,0.45,0.36,0.641,0.286,0.201,0.096,0.105,Random,22,32
236,4fg,5,2,Random,81.46666667,865.6,2.773215601,7.035409986,784.1333333,1,Normoxia,0.094115835,27,27,1,1,4,Normoxia acclimated,F,0.23,0.8,22,30.5,2.15,0.72,0.56,0.774,0.329,0.259,0.126,0.133,Random,22,6
237,9mb,3,1,Large,81.36666667,865.6,3.068816034,6.586270288,784.2333333,3,Hypoxia,0.094000308,33,31,1,1,9,Normoxia acclimated,M,0.11,0.12,17,18,0.15,0.12,0.1,0.492,0.136,0.128,0.031,0.097,Negative,18,4
238,9fg,4,2,Large,81.13333333,865.6,1.558658964,8.575734981,784.4666667,2,Hypoxia,0.093730746,NA,NA,NA,NA,9,Normoxia acclimated,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,NA,NA
239,1ml,5,2,Random,80.53333333,865.6,3.203280127,6.949627982,785.0666667,2,Hypoxia,0.093037585,NA,NA,NA,NA,1,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.12,0.1,1.227,0.328,0.32,0.075,0.245,Random,18,NA
240,11fl,8,3,Random,80.33333333,865.6,2.751551829,6.630578433,785.2666667,2,Normoxia,0.092806531,NA,NA,NA,NA,11,Normoxia acclimated,F,0.18,0.58,20.5,18.5,2.02,0.58,-0.18,0.485,0.218,0.158,0.078,0.08,Random,20,NA
241,10mp,7,3,Large,79.9,865.6,3.332676261,6.742209478,785.7,2,Hypoxia,0.092305915,NA,NA,NA,NA,10,Hypoxia acclimated,M,0.16,0.17,20,19.5,0.1,0.17,-0.04,0.544,0.025,0.149,0.006,0.143,Negative,20,NA
242,5fg,1,1,Small,79.86666667,865.6,2.646642758,8.020345695,785.7333333,2,Normoxia,0.092267406,6,6,1,1,5,Hypoxia acclimated,F,0.13,0.43,18,25.5,2.06,0.4,0.6,0.706,0.316,0.218,0.102,0.116,Positive,18,6
243,4fb,2,1,Random,79.8,865.6,2.884576355,7.210248938,785.8,1,Hypoxia,0.092190388,NA,NA,NA,NA,4,Normoxia acclimated,F,0.16,0.52,20,26.5,2.03,0.3,0.49,0.767,0.221,0.227,0.066,0.137,Random,20,NA
244,12mg,6,2,Small,79.73333333,865.6,2.833017215,6.837206732,785.8666667,3,Hypoxia,0.09211337,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
245,3fl,5,2,Random,79.33333333,865.6,2.581204799,6.225260917,786.2666667,3,Hypoxia,0.091651263,46,46,1,1,3,Hypoxia acclimated,F,0.22,0.69,21.5,27.5,1.97,0.72,0.42,0.482,0.244,0.161,0.093,0.068,Random,28,46
246,12mb,1,1,Small,79.3,865.6,2.994046589,7.570247291,786.3,2,Normoxia,0.091612754,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
247,9mb,3,1,Large,78.8,865.6,3.219224783,6.584949625,786.8,2,Hypoxia,0.09103512,4,31,1,1,9,Normoxia acclimated,M,0.11,0.12,17,18,0.15,0.12,0.1,0.492,0.136,0.128,0.031,0.097,Negative,17,4
248,3fb,2,1,Random,78.33333333,865.6,1.971068991,7.645077929,787.2666667,2,Normoxia,0.090495995,44,44,1,1,3,Hypoxia acclimated,F,0.22,0.58,21.5,26.5,1.67,0.45,0.36,1.123,0.327,0.352,0.109,0.243,Random,22,5
249,4fp,8,3,Random,78.33333333,865.6,2.974440766,6.944651705,787.2666667,1,Recovery,0.090495995,NA,NA,NA,NA,4,Normoxia acclimated,F,0.17,0.62,20,27,2.23,0.43,0.52,NA,NA,NA,NA,NA,Random,20,NA
250,4mb,8,1,Random,78.1,865.6,3.175611847,6.416972682,787.5,1,Hypoxia,0.090226433,NA,45,0,1,4,Normoxia acclimated,M,0.09,0.01,16,17,-3.79,0.1,0.1,0.901,0.185,0.229,0.04,0.189,Random,16,45
251,1fb,2,1,Random,78.06666667,865.6,2.494600602,7.867975598,787.5333333,3,Normoxia,0.090187924,6,5,1,1,1,Hypoxia acclimated,F,0.16,0.3,19,22,1.08,0.28,0.25,0.528,0.305,0.155,0.089,0.066,Random,22,5
252,11fl,8,3,Random,77.8,865.6,2.837718845,6.660761565,787.8,2,Recovery,0.089879852,NA,NA,NA,NA,11,Normoxia acclimated,F,0.18,0.58,20.5,18.5,2.02,0.58,-0.18,NA,NA,NA,NA,NA,Random,20,NA
253,1fb,2,1,Random,77.7,865.6,2.632252805,6.735542158,787.9,2,Hypoxia,0.089764325,NA,10,0,1,1,Hypoxia acclimated,F,0.16,0.3,19,22,1.08,0.28,0.25,0.619,0.219,0.182,0.064,0.118,Random,19,5
254,6mb,1,1,Small,77.66666667,865.6,20.44825965,43.06538207,787.9333333,2,Hypoxia,0.089725816,NA,NA,NA,NA,6,Normoxia acclimated,M,0.07,0.09,14.5,16,0.43,0.08,0.17,0.968,0.155,0.238,0.031,0.207,Positive,14,NA
255,4mp,8,3,Random,77.5,865.6,2.778357184,6.778037247,788.1,3,Recovery,0.089533272,NA,4,0,1,4,Normoxia acclimated,M,0.09,0.09,16,16,0,0.09,0,NA,NA,NA,NA,NA,Random,16,4
256,10mg,4,2,Large,77.33333333,865.6,2.617601584,7.901862442,788.2666667,3,Hypoxia,0.089340727,7,6,1,1,10,Hypoxia acclimated,M,0.16,0.19,18.5,20.5,0.3,0.16,0.18,0.707,0.004,0.192,0.001,0.191,Negative,20,6
257,3fg,5,2,Random,77.33333333,865.6,2.452355965,6.513547485,788.2666667,1,Normoxia,0.089340727,NA,NA,NA,NA,3,Hypoxia acclimated,F,0.3,0.82,23.5,30,1.73,0.93,0.42,0.657,0.254,0.228,0.105,0.123,Random,24,NA
258,2mg,1,1,Small,77.13333333,865.6,2.347146284,7.590106749,788.4666667,2,Normoxia,0.089109673,6,3,1,1,2,Normoxia acclimated,M,0.06,0.07,15.5,15.5,0.27,0.07,0,1.384,0.292,0.334,0.057,0.277,Positive,16,3
259,11fp,8,3,Random,76.56666667,865.6,2.720155453,6.650730047,789.0333333,2,Normoxia,0.088455022,8,7,1,1,11,Normoxia acclimated,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Random,NA,7
260,7ml,4,2,Large,76.53333333,865.6,2.863992059,7.293357199,789.0666667,3,Normoxia,0.088416513,37,37,1,1,7,Normoxia acclimated,M,0.1,0.1,16,16.5,0,0.11,0.05,1.109,0.514,0.285,0.114,0.171,Negative,16,37
261,9fp,7,3,Large,76.4,865.6,2.701449748,6.573759078,789.2,2,Normoxia,0.088262477,6,22,1,1,9,Normoxia acclimated,F,0.19,0.82,20,29.5,2.52,0.57,0.67,0.727,0.251,0.236,0.09,0.146,Negative,20,6
262,1mg,5,2,Random,76.03333333,865.6,2.75126613,7.985477706,789.5666667,1,Hypoxia,0.087838879,NA,29,0,1,1,Hypoxia acclimated,M,0.14,0.17,18.5,19,0.33,0.15,0.05,0.744,0.256,0.2,0.062,0.138,Random,18,29
263,9ml,4,2,Large,76,865.6,3.025477204,7.193714744,789.6,1,Recovery,0.08780037,NA,NA,NA,NA,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,NA,NA,NA,NA,NA,Negative,19,NA
264,2fg,6,2,Small,75.83333333,865.6,2.803065985,6.934480148,789.7666667,2,Recovery,0.087607825,49,47,1,1,2,Normoxia acclimated,F,0.12,0.34,18.5,23,1.8,0.25,0.38,NA,NA,NA,NA,NA,Positive,18,47
265,9ml,4,2,Large,75.63333333,865.6,2.947801198,6.725063014,789.9666667,3,Hypoxia,0.087376771,NA,NA,NA,NA,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,0.555,0.24,0.146,0.056,0.09,Negative,18,NA
266,3fl,5,2,Random,75.1,865.6,2.244861593,6.941327975,790.5,1,Normoxia,0.086760628,NA,6,0,1,3,Hypoxia acclimated,F,0.22,0.69,21.5,27.5,1.97,0.72,0.42,0.897,0.283,0.3,0.108,0.192,Random,22,6
267,8ml,7,3,Large,74.93333333,865.6,2.815132764,7.067679509,790.6666667,2,Normoxia,0.086568084,NA,NA,NA,NA,8,Hypoxia acclimated,M,0.13,0.15,18,19,0.25,0.15,0.09,0.989,0.414,0.266,0.101,0.165,Negative,18,NA
268,3mp,8,3,Random,74.73333333,865.6,2.711418699,7.269755188,790.8666667,2,Recovery,0.08633703,NA,3,0,1,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,NA,NA,NA,NA,NA,Random,18,3
269,11fb,2,1,Random,74.1,865.6,2.161506043,7.513930688,791.5,2,Normoxia,0.08560536,NA,6,0,1,11,Normoxia acclimated,F,0.21,0.19,20,21.5,-0.17,0.17,0.12,1.276,0.429,0.349,0.108,0.241,Random,20,6
270,8fb,3,1,Large,73.93333333,865.6,2.227331217,8.493696734,791.6666667,1,Recovery,0.085412816,NA,NA,NA,NA,8,Hypoxia acclimated,F,0.21,0.35,21.5,25,0.88,0.34,0.26,NA,NA,NA,NA,NA,Negative,22,NA
271,5fp,9,3,Small,73.53333333,865.6,2.37680302,7.53705304,792.0666667,3,Hypoxia,0.084950709,45,17,1,1,5,Hypoxia acclimated,F,0.19,0.42,21,25.5,1.37,0.42,0.33,0.55,0.207,0.171,0.068,0.103,Positive,26,6
272,9mg,4,2,Large,72.96666667,865.6,3.126125202,6.80062041,792.6333333,3,Hypoxia,0.084296057,38,38,1,1,9,Normoxia acclimated,M,0.1,0.13,17,18,0.45,0.12,0.1,0.998,0.415,0.26,0.094,0.166,Negative,18,5
273,8fg,4,2,Large,72.83333333,865.6,2.678978898,7.91935021,792.7666667,2,Hypoxia,0.084142021,5,4,1,1,8,Hypoxia acclimated,F,0.19,0.7,21,29.5,2.25,0.83,0.59,0.453,0.305,0.155,0.122,0.033,Negative,21,4
274,2mb,1,1,Small,72.63333333,865.6,2.923605055,6.121392673,792.9666667,2,Hypoxia,0.083910967,4,4,1,1,2,Normoxia acclimated,M,0.05,0.07,15.5,16,0.58,0.09,0.05,0.175,0.15,0.044,0.031,0.013,Positive,16,4
275,1fg,2,1,Random,72.1,865.6,1.623315045,7.186770366,793.5,1,Recovery,0.083294824,NA,NA,NA,NA,1,Hypoxia acclimated,F,0.23,0.45,20.5,25.5,1.16,0.41,0.38,NA,NA,NA,NA,NA,Random,20,NA
276,10ml,4,2,Large,71.93333333,865.6,3.180233466,7.108285601,793.6666667,2,Hypoxia,0.08310228,NA,NA,NA,NA,10,Hypoxia acclimated,M,0.12,0.11,18,16.5,-0.15,0.13,-0.15,0.448,0.01,0.118,0.002,0.116,Negative,18,NA
277,9fp,7,3,Large,71.8,865.6,3.077520787,6.414891019,793.8,2,Hypoxia,0.082948244,7,49,1,1,9,Normoxia acclimated,F,0.19,0.82,20,29.5,2.52,0.57,0.67,0.562,0.194,0.182,0.069,0.113,Negative,20,7
278,11fg,5,2,Random,71.73333333,865.6,3.004447166,6.609500847,793.8666667,3,Hypoxia,0.082871226,51,17,1,1,11,Normoxia acclimated,F,0.23,0.61,23,29,1.68,0.76,0.4,0.429,0.284,0.145,0.11,0.035,Random,29,6
279,10mp,7,3,Large,71.7,865.6,2.307613473,8.240793711,793.9,1,Recovery,0.082832717,NA,NA,NA,NA,10,Hypoxia acclimated,M,0.16,0.17,20,19.5,0.1,0.17,-0.04,NA,NA,NA,NA,NA,Negative,20,NA
280,11mp,8,3,Random,71.6,865.6,2.969143497,6.205904191,794,3,Hypoxia,0.08271719,4,36,1,1,11,Normoxia acclimated,M,0.11,0.12,17,17.5,0.15,0.12,0.05,1.164,0.312,0.303,0.071,0.232,Random,18,4
281,8ml,7,3,Large,70.83333333,865.6,2.721944003,6.929394121,794.7666667,3,Normoxia,0.081831485,NA,NA,NA,NA,8,Hypoxia acclimated,M,0.13,0.15,18,19,0.25,0.15,0.09,0.989,0.414,0.266,0.101,0.165,Negative,19,NA
282,1ml,5,2,Random,70.73333333,865.6,2.968830313,7.937514402,794.8666667,3,Normoxia,0.081715958,NA,NA,NA,NA,1,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.12,0.1,1.214,0.505,0.316,0.115,0.201,Random,18,NA
283,2fl,9,3,Small,70.63333333,865.6,1.976459113,6.907692361,794.9666667,2,Hypoxia,0.081600431,NA,143,0,1,2,Normoxia acclimated,F,0.29,0.54,23.5,27.5,1.07,0.51,0.27,0.402,0.227,0.128,0.079,0.049,Positive,24,143
284,10mb,3,1,Large,70.53333333,865.6,1.877223017,8.885730503,795.0666667,1,Hypoxia,0.081484904,4,4,1,1,10,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.14,0.1,0.595,0.021,0.158,0.005,0.153,Negative,18,4
285,3mp,8,3,Random,70.33333333,865.6,2.981105719,7.018156312,795.2666667,3,Recovery,0.081253851,33,3,1,1,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,NA,NA,NA,NA,NA,Random,19,3
286,2ml,6,2,Small,70.06666667,865.6,2.808992863,6.95297603,795.5333333,3,Normoxia,0.080945779,53,37,1,1,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,0.78,0.224,0.208,0.053,0.155,Positive,18,7
287,7mg,3,1,Large,69.73333333,865.6,2.804802293,7.799802995,795.8666667,3,Normoxia,0.08056069,76,128,1,1,7,Normoxia acclimated,M,0.14,0.15,18,19.5,0.12,0.14,0.14,0.957,0.747,0.255,0.178,0.077,Negative,20,18
288,3mb,2,1,Random,69.36666667,865.6,2.467890801,7.515007637,796.2333333,1,Recovery,0.080137092,NA,NA,NA,NA,3,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Random,NA,NA
289,8fg,4,2,Large,69.16666667,865.6,1.879471401,8.710022116,796.4333333,2,Normoxia,0.079906038,NA,100,0,1,8,Hypoxia acclimated,F,0.19,0.7,21,29.5,2.25,0.83,0.59,0.599,0.306,0.205,0.122,0.083,Negative,21,5
290,2fl,9,3,Small,68.96666667,865.6,2.859948543,6.352189643,796.6333333,1,Hypoxia,0.079674985,143,143,1,1,2,Normoxia acclimated,F,0.29,0.54,23.5,27.5,1.07,0.51,0.27,0.402,0.227,0.128,0.079,0.049,Positive,24,143
291,11mg,2,1,Random,68.86666667,865.6,2.626257245,7.681412733,796.7333333,2,Recovery,0.079559458,66,6,1,1,11,Normoxia acclimated,M,0.1,0.12,17,17.5,0.31,0.12,0.05,NA,NA,NA,NA,NA,Random,17,6
292,8mb,3,1,Large,68.63333333,865.6,2.149173931,7.221306844,796.9666667,2,Recovery,0.079289895,7,5,1,1,8,Hypoxia acclimated,M,0.11,0.16,18,18.5,0.65,0.11,0.05,NA,NA,NA,NA,NA,Negative,18,5
293,1fb,2,1,Random,68.26666667,865.6,2.030675268,7.40579613,797.3333333,2,Normoxia,0.078866297,5,5,1,1,1,Hypoxia acclimated,F,0.16,0.3,19,22,1.08,0.28,0.25,0.528,0.305,0.155,0.089,0.066,Random,19,5
294,8mg,4,2,Large,68.26666667,865.6,2.411956978,7.765218764,797.3333333,3,Hypoxia,0.078866297,NA,5,0,1,8,Hypoxia acclimated,M,0.11,0.13,16,18,0.29,0.12,0.2,0.764,0.274,0.199,0.062,0.137,Negative,18,5
295,6mp,9,3,Small,68.1,865.6,3.173203231,6.269255865,797.5,2,Normoxia,0.078673752,5,5,1,1,6,Normoxia acclimated,M,0.09,0.09,15.5,16,0,0.09,0.05,0.732,0.206,0.183,0.043,0.14,Positive,16,5
296,1mg,5,2,Random,67.93333333,865.6,2.270093671,10.75162951,797.6666667,3,Normoxia,0.078481208,6,30,1,1,1,Hypoxia acclimated,M,0.14,0.17,18.5,19,0.33,0.15,0.05,0.724,0.478,0.195,0.116,0.079,Random,19,6
297,8fl,4,2,Large,67.93333333,865.6,1.852866537,8.905492016,797.6666667,3,Normoxia,0.078481208,NA,NA,0,0,8,Hypoxia acclimated,F,0.2,0.79,20.5,31,2.37,0.74,0.71,0.807,0.268,0.271,0.103,0.168,Negative,31,NA
298,11fp,8,3,Random,66.83333333,865.6,2.682994034,6.779866902,798.7666667,2,Recovery,0.077210413,NA,NA,NA,NA,11,Normoxia acclimated,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Random,NA,NA
299,7fb,3,1,Large,66.83333333,865.6,1.538096161,7.715074558,798.7666667,2,Recovery,0.077210413,33,33,1,1,7,Normoxia acclimated,F,0.2,0.25,20,21.5,0.38,0.21,0.12,NA,NA,NA,NA,NA,Negative,20,6
300,9fl,7,3,Large,66.83333333,865.6,2.995084806,6.258038671,798.7666667,2,Recovery,0.077210413,19,19,1,1,9,Normoxia acclimated,F,0.2,0.59,21,28,1.87,0.42,0.5,NA,NA,NA,NA,NA,Negative,21,6
301,11mg,2,1,Random,66.53333333,865.6,2.746404572,7.656246384,799.0666667,2,Normoxia,0.076863832,NA,19,0,1,11,Normoxia acclimated,M,0.1,0.12,17,17.5,0.31,0.12,0.05,1.298,0.524,0.338,0.119,0.219,Random,17,6
302,5fl,6,2,Small,66.43333333,865.6,2.377718322,6.647597745,799.1666667,3,Hypoxia,0.076748306,NA,NA,NA,NA,5,Hypoxia acclimated,F,0.19,0.38,20.5,24,1.2,0.36,0.27,0.758,0.122,0.23,0.038,0.192,Positive,24,NA
303,10fp,7,3,Large,65.26666667,865.6,2.18616289,6.464890933,800.3333333,2,Hypoxia,0.075400493,55,55,1,1,10,Hypoxia acclimated,F,0.23,0.6,21.5,27.5,1.65,0.43,0.42,0.457,0.145,0.142,0.048,0.094,Negative,22,55
304,9mb,3,1,Large,65.13333333,865.6,2.820068662,6.643479724,800.4666667,2,Normoxia,0.075246457,82,41,1,1,9,Normoxia acclimated,M,0.11,0.12,17,18,0.15,0.12,0.1,1.153,0.201,0.3,0.046,0.254,Negative,17,41
305,2mg,1,1,Small,65.1,865.6,3.069368955,6.084825564,800.5,2,Hypoxia,0.075207948,5,5,1,1,2,Normoxia acclimated,M,0.06,0.07,15.5,15.5,0.27,0.07,0,0.271,0.295,0.065,0.057,0.008,Positive,16,5
306,3fg,5,2,Random,64.9,865.6,1.499779645,9.15601183,800.7,1,Recovery,0.074976895,NA,NA,NA,NA,3,Hypoxia acclimated,F,0.3,0.82,23.5,30,1.73,0.93,0.42,NA,NA,NA,NA,NA,Random,24,NA
307,10fp,7,3,Large,64.7,865.6,2.36056583,7.105131923,800.9,1,Recovery,0.074745841,63,31,1,1,10,Hypoxia acclimated,F,0.23,0.6,21.5,27.5,1.65,0.43,0.42,NA,NA,NA,NA,NA,Negative,22,31
308,1fl,5,2,Random,64.63333333,865.6,2.556477905,7.45120295,800.9666667,2,Normoxia,0.074668823,49,49,1,1,1,Hypoxia acclimated,F,0.24,0.57,22.5,28.5,1.49,0.52,0.41,0.769,0.149,0.246,0.052,0.194,Random,22,49
309,9fp,7,3,Large,64.63333333,865.6,3.030488095,6.919633569,800.9666667,2,Recovery,0.074668823,6,6,1,1,9,Normoxia acclimated,F,0.19,0.82,20,29.5,2.52,0.57,0.67,NA,NA,NA,NA,NA,Negative,20,6
310,5ml,6,2,Small,64.43333333,865.6,1.836679897,7.787778519,801.1666667,1,Hypoxia,0.07443777,5,5,1,1,5,Hypoxia acclimated,M,0.1,0.12,16.5,18,0.31,0.12,0.15,1.057,0.169,0.275,0.038,0.237,Positive,16,5
311,2fl,9,3,Small,64.33333333,865.6,1.678991989,7.15458976,801.2666667,2,Recovery,0.074322243,5,5,1,1,2,Normoxia acclimated,F,0.29,0.54,23.5,27.5,1.07,0.51,0.27,NA,NA,NA,NA,NA,Positive,24,5
312,12mg,6,2,Small,63.96666667,865.6,2.747042528,6.885861235,801.6333333,3,Normoxia,0.073898644,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
313,5fg,1,1,Small,63.5,865.6,2.586950007,6.801616524,802.1,1,Normoxia,0.073359519,6,6,1,1,5,Hypoxia acclimated,F,0.13,0.43,18,25.5,2.06,0.4,0.6,0.706,0.316,0.218,0.102,0.116,Positive,18,6
314,10mg,4,2,Large,63.23333333,865.6,32.44178871,107.2630749,802.3666667,2,Hypoxia,0.073051448,6,6,1,1,10,Hypoxia acclimated,M,0.16,0.19,18.5,20.5,0.3,0.16,0.18,0.707,0.004,0.192,0.001,0.191,Negative,18,6
315,10mb,3,1,Large,116.4666667,918.9333333,NA,NA,802.4666666,2,Normoxia,0.126741149,46,4,1,1,10,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.14,0.1,0.8,0.282,0.213,0.067,0.146,Negative,18,4
316,7fp,7,3,Large,63.1,865.6,2.589970085,6.544575813,802.5,2,Normoxia,0.072897412,NA,32,0,1,7,Normoxia acclimated,F,0.25,0.99,22.5,31,2.37,0.66,0.55,0.794,0.279,0.263,0.104,0.159,Negative,22,32
317,5mp,9,3,Small,62.93333333,865.6,1.60042707,7.518772519,802.6666667,1,Hypoxia,0.072704868,NA,NA,NA,NA,5,Hypoxia acclimated,M,0.11,0.12,17.5,18,0.15,0.12,0.05,0.894,0.254,0.233,0.058,0.175,Positive,18,NA
318,11fl,8,3,Random,62.73333333,865.6,2.515952923,6.45942306,802.8666667,3,Normoxia,0.072473814,NA,NA,NA,NA,11,Normoxia acclimated,F,0.18,0.58,20.5,18.5,2.02,0.58,-0.18,0.485,0.218,0.158,0.078,0.08,Random,18,NA
319,6ml,6,2,Small,62.36666667,865.6,2.621868213,8.300938116,803.2333333,3,Normoxia,0.072050216,NA,NA,NA,NA,6,Normoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
